SurveyPointId,Easting,Northing,Amphora,Coarseware,Commonware,Fineware
16127a-03-003,530397.9,4388627.5,1.0,0.0,0.0,0.0
16127a-03-004,530395.1,4388637.0,1.0,0.0,0.0,0.0
16127a-03-005,530404.8,4388621.0,1.0,0.0,0.0,0.0
16127a-03-006,530399.6,4388585.0,1.0,0.0,0.0,0.0
16127a-08-001,530384.4,4388609.0,1.0,1.0,0.0,0.0
16127a-08-002,530362.1,4388618.4,0.0,1.0,0.0,0.0
16127a-08-003,530338.4,4388603.5,1.0,1.0,0.0,0.0
16127a-08-005,530346.8,4388629.6,0.0,1.0,0.0,0.0
16127a-09-001,530405.7,4388592.8,1.0,0.0,0.0,0.0
16127a-09-002,530393.0,4388578.0,1.0,0.0,0.0,0.0
16127a-09-003,530390.4,4388568.4,1.0,1.0,0.0,0.0
16127a-09-004,530411.0,4388628.2,1.0,0.0,0.0,0.0
16127a-09-005,530414.5,4388621.1,1.0,1.0,0.0,0.0
16127a-10-001,530398.3,4388597.7,0.0,1.0,0.0,0.0
16127a-10-002,530380.9,4388607.2,1.0,0.0,0.0,0.0
16127a-10-003,530346.2,4388609.7,1.0,0.0,0.0,0.0
16127a-10-012,530366.0,4388574.7,1.0,0.7,0.0,0.0
16127a-10-013,530362.9,4388571.7,1.0,0.0,0.0,0.0
16127a-10-014,530354.7,4388588.2,1.0,1.0,0.0,1.0
16127a-11-001,530371.7,4388560.9,0.0,1.0,0.0,0.0
16127a-11-002,530352.8,4388548.6,0.0,1.0,0.0,0.0
16127a-11-003,530336.2,4388556.1,1.0,1.0,0.0,0.0
16127a-12-002,530369.5,4388625.9,1.0,1.0,0.0,0.0
16127a-12-003,530344.5,4388620.0,1.0,1.0,1.0,0.0
16127a-12-004,530313.5,4388614.2,0.0,1.0,0.0,0.0
16127a-12-006,530334.5,4388632.7,0.0,1.0,0.0,0.0
16127a-13-001,530388.7,4388594.4,1.0,0.0,1.0,1.0
16127a-13-002,530377.1,4388619.0,1.0,1.0,1.0,0.0
16127a-13-003,530371.7,4388620.9,1.0,1.0,0.0,0.0
16127a-13-004,530326.1,4388602.9,1.0,1.0,1.0,0.0
16127a-13-011,530372.3,4388579.1,1.0,1.0,0.0,0.0
16127b-82-303,530374.66,4388673.15,1.0,0.0,0.0,0.0
16127b-84-302,530949.35,4385998.36,1.0,0.0,0.0,0.0
16127b-84-303,530949.35,4385998.36,0.0,0.0,1.0,0.0
161310-38-301,530714.47,4388475.46,1.0,0.0,0.0,0.0
161310-38-302,530722.03,4388485.03,1.0,0.0,0.0,0.0
161310-46-303,530734.22,4388485.57,0.0,0.0,1.0,0.0
16135a-05-102,530874.18,4388693.56,1.0,0.0,0.0,0.0
16135a-05-113,530721.1,4388698.72,0.0,1.0,0.0,0.0
16135a-05-116,530747.55,4388713.7,1.0,0.0,0.0,0.0
16135a-05-121,530714.39,4388724.33,1.0,0.0,0.0,0.0
16135a-05-122,530821.47,4388594.79,1.0,1.0,0.0,0.0
16135a-05-123,530837.0,4388573.66,1.0,0.0,0.0,0.0
16135a-05-124,530842.72,4388558.59,0.0,1.0,0.0,0.0
16135a-05-126,530851.89,4388540.2,1.0,0.0,0.0,0.0
16135a-13-002,530858.48,4388689.3,1.0,0.0,0.0,0.0
16135a-13-003,530862.79,4388683.99,1.0,0.0,0.0,0.0
16135a-13-004,530866.54,4388672.03,1.0,0.0,0.0,0.0
16135a-13-007,530857.9,4388631.83,1.0,0.0,0.0,0.0
16135a-13-008,530851.88,4388623.98,1.0,1.0,0.0,0.0
16135a-13-009,530844.02,4388616.25,1.0,1.0,0.0,0.0
16135a-13-010,530837.55,4388611.58,1.0,1.0,0.0,0.0
16135a-23-143,530827.93,4388743.18,1.0,1.0,1.0,0.0
16135a-23-145,530833.16,4388608.49,1.0,0.0,0.0,0.0
16135a-23-147,530847.36,4388586.86,1.0,0.0,0.0,0.0
16135a-23-150,530859.59,4388564.01,1.0,0.0,0.0,0.0
16135a-23-153,530821.19,4388562.63,1.0,0.0,0.0,0.0
16135a-24-106,530847.03,4388660.52,1.0,0.0,0.0,0.0
16135a-24-107,530850.89,4388651.68,1.0,0.0,0.0,0.0
16135a-24-108,530852.9,4388645.9,1.0,1.0,0.0,1.0
16135a-24-109,530855.11,4388637.61,1.0,1.0,0.0,0.0
16135a-24-110,530857.6,4388632.23,1.0,1.0,0.0,0.0
16135a-24-122,530752.49,4388686.25,1.0,0.0,0.0,0.0
16135a-24-125,530722.8,4388709.16,1.0,0.0,0.0,0.0
16135a-24-130,530766.51,4388732.17,1.0,0.0,0.0,0.0
16135a-24-134,530845.37,4388565.06,0.0,0.0,0.0,1.0
16135a-24-135,530849.44,4388557.8,1.0,0.0,0.0,0.0
16135a-24-137,530857.21,4388551.11,1.0,1.0,0.0,0.0
16135a-25-107,530840.67,4388642.59,1.0,0.0,0.0,0.0
16135a-25-108,530842.82,4388640.05,1.0,0.0,0.0,0.0
16135a-25-109,530847.49,4388631.85,1.0,0.0,0.0,0.0
16135a-25-110,530847.84,4388630.19,1.0,0.0,0.0,0.0
16135a-25-118,530748.85,4388666.53,1.0,0.0,0.0,0.0
16135a-25-125,530796.55,4388712.67,1.0,0.0,0.0,0.0
16135a-25-128,530723.76,4388719.48,1.0,0.0,0.0,0.0
16135a-25-130,530743.96,4388731.33,1.0,0.0,0.0,0.0
16135a-25-132,530768.98,4388740.2,0.0,0.0,1.0,0.0
16135a-25-133,530838.04,4388569.66,1.0,0.0,0.0,0.0
16135a-25-134,530838.67,4388563.12,1.0,0.0,0.0,0.0
16135a-25-136,530843.28,4388546.93,1.0,0.0,0.0,0.0
16135a-25-137,530846.49,4388538.73,1.0,0.0,0.0,0.0
16135a-25-138,530842.45,4388541.49,1.0,0.0,0.0,0.0
16135a-25-140,530833.96,4388560.1,1.0,1.0,0.0,0.0
16135a-25-141,530832.14,4388565.98,1.0,0.0,1.0,0.0
16135a-25-142,530826.92,4388561.19,1.0,0.0,0.0,0.0
16135a-25-143,530829.7,4388554.54,1.0,0.0,0.0,0.0
16135a-26-108,530837.0,4388637.75,1.0,0.0,0.0,0.0
16135a-26-109,530837.38,4388634.14,1.0,1.0,0.0,0.0
16135a-26-110,530840.96,4388624.5,1.0,0.0,0.0,0.0
16135a-26-111,530840.88,4388622.28,1.0,0.0,0.0,0.0
16135a-26-113,530873.25,4388632.41,1.0,0.0,0.0,0.0
16135a-26-114,530867.59,4388627.82,1.0,1.0,0.0,0.0
16135a-26-115,530862.23,4388622.06,1.0,1.0,0.0,0.0
16135a-26-116,530857.66,4388617.23,1.0,1.0,0.0,0.0
16135a-26-117,530852.32,4388612.31,1.0,0.0,0.0,0.0
16135a-26-118,530848.33,4388607.41,1.0,1.0,0.0,0.0
16135a-26-119,530842.44,4388607.07,1.0,1.0,0.0,0.0
16135a-26-120,530831.87,4388609.86,1.0,0.0,0.0,0.0
16135a-27-101,530806.69,4388642.79,0.0,1.0,0.0,0.0
16135a-27-106,530846.16,4388663.7,1.0,0.0,0.0,0.0
16135a-27-107,530851.5,4388658.62,1.0,0.0,0.0,0.0
16135a-27-108,530854.36,4388652.08,1.0,1.0,0.0,0.0
16135a-27-109,530855.92,4388647.87,1.0,1.0,0.0,0.0
16135a-27-124,530740.85,4388674.05,1.0,0.0,0.0,0.0
16135a-27-129,530766.94,4388691.35,1.0,0.0,0.0,0.0
16135a-27-131,530774.11,4388701.26,0.0,0.0,0.0,1.0
16135a-27-134,530794.66,4388712.88,0.0,1.0,0.0,0.0
16135a-27-137,530808.16,4388726.92,1.0,0.0,0.0,0.0
16135a-27-146,530846.92,4388538.62,1.0,0.0,0.0,0.0
16135a-27-147,530854.15,4388533.1,1.0,0.0,0.0,0.0
16135a-27-148,530856.29,4388533.78,1.0,0.0,0.0,0.0
16135a-27-149,530862.4,4388529.47,1.0,0.0,0.0,0.0
16135a-27-150,530861.76,4388517.26,1.0,0.0,0.0,0.0
16135a-28-102,530840.38,4388694.18,0.0,1.0,0.0,0.0
16135a-29-102,530799.64,4388672.08,1.0,0.0,0.0,0.0
16135a-29-104,530810.35,4388650.15,1.0,0.0,0.0,0.0
16135a-30-102,530848.25,4388704.0,1.0,0.0,0.0,0.0
16135b-14-040,530903.37,4388712.32,1.0,0.0,0.0,0.0
16135b-29-110,530894.49,4388715.28,1.0,0.0,0.0,0.0
16135c-01-018,530841.986325623,4388582.87348547,0.0,1.0,0.0,0.0
16135c-01-019,530849.396194765,4388578.67015998,1.0,1.0,0.0,0.0
16135c-01-020,530853.94643288,4388573.80501336,1.0,0.0,0.0,0.0
16135c-01-021,530856.203710325,4388568.65100208,1.0,0.0,0.0,0.0
16135c-01-022,530862.665812535,4388564.07209168,1.0,1.0,1.0,0.0
